Id,SalePrice
1461,130239.5
1462,156909.5
1463,180141.87
1464,181805.5
1465,193233.22
1466,180204.87
1467,164705.77
1468,175202.65
1469,174804.5
1470,122497.71
1471,208086.43
1472,98464.0
1473,98519.0
1474,154429.5
1475,114502.68
1476,339863.75
1477,239198.47
1478,305394.39
1479,288310.98
1480,468688.33
1481,301968.41
1482,206098.23
1483,189042.88
1484,165182.78
1485,161986.46
1486,199234.55
1487,323858.7
1488,220860.86
1489,200073.01
1490,236735.44
1491,190167.1
1492,97407.0
1493,172969.0
1494,294154.45
1495,295478.61
1496,252635.82
1497,195291.48
1498,155130.46
1499,152605.59
1500,158043.99
1501,170312.05
1502,146349.29
1503,259522.87
1504,228429.98
1505,217040.97
1506,191274.28
1507,243687.02
1508,196758.99
1509,163527.5
1510,154687.25
1511,160163.85
1512,180058.32
1513,151212.54
1514,156841.13
1515,228369.21
1516,161755.96
1517,152563.59
1518,138613.07
1519,232166.4
1520,141688.5
1521,148400.0
1522,162979.8
1523,116177.16
1524,124802.86
1525,125944.4
1526,128203.75
1527,111329.04
1528,124846.91
1529,149039.87
1530,159399.37
1531,138459.34
1532,107420.05
1533,172166.0
1534,110871.76
1535,159530.32
1536,112542.43
1537,88303.04
1538,137823.15
1539,250512.7
1540,128200.37
1541,151375.26
1542,149609.53
1543,186519.15
1544,79882.76
1545,111024.71
1546,125841.51
1547,144001.84
1548,134809.77
1549,115560.0
1550,146813.04
1551,123479.64
1552,165590.0
1553,149798.7
1554,112573.3
1555,178066.84
1556,96536.26
1557,150987.18
1558,92425.5
1559,143492.23
1560,147348.0
1561,199246.19
1562,125938.58
1563,127359.5
1564,163846.82
1565,162077.14
1566,237576.46
1567,86737.9
1568,229941.16
1569,159165.87
1570,131316.57
1571,132592.68
1572,150929.45
1573,238735.44
1574,129821.5
1575,230917.9
1576,264691.53
1577,192508.52
1578,155239.43
1579,138899.7
1580,185235.47
1581,141285.65
1582,130918.5
1583,342117.48
1584,238961.46
1585,142140.0
1586,76982.08
1587,107144.2
1588,153241.37
1589,106516.54
1590,133701.75
1591,107085.0
1592,125446.17
1593,123650.75
1594,143768.25
1595,136835.0
1596,238067.59
1597,169453.97
1598,192457.5
1599,143878.0
1600,172989.09
1601,89652.11
1602,120921.85
1603,103439.73
1604,290147.0
1605,250949.93
1606,171526.5
1607,184356.97
1608,220993.31
1609,184323.69
1610,163201.6
1611,145295.23
1612,170943.1
1613,175964.55
1614,116816.41
1615,85522.04
1616,82465.54
1617,89358.0
1618,124181.75
1619,131434.5
1620,165309.28
1621,139059.15
1622,146971.09
1623,286361.69
1624,244821.5
1625,133376.16
1626,165936.82
1627,183966.0
1628,287077.76
1629,176466.65
1630,307753.11
1631,181307.5
1632,235597.41
1633,156567.41
1634,191450.0
1635,178513.65
1636,160522.1
1637,186807.6
1638,200379.99
1639,174859.96
1640,225387.08
1641,170778.22
1642,224544.06
1643,230085.45
1644,223948.95
1645,180157.08
1646,153234.0
1647,161764.5
1648,149154.0
1649,137709.0
1650,121021.5
1651,121106.26
1652,92836.0
1653,96138.5
1654,158594.5
1655,141165.58
1656,153604.85
1657,157576.5
1658,168437.22
1659,122076.0
1660,154527.33
1661,453634.44
1662,363799.25
1663,355672.63
1664,468922.7
1665,307159.85
1666,335989.74
1667,362794.42
1668,308752.71
1669,294990.14
1670,325605.28
1671,263882.84
1672,489000.04
1673,294239.68
1674,254342.88
1675,199032.79
1676,203467.98
1677,205476.01
1678,472070.96
1679,415880.69
1680,301015.15
1681,238021.43
1682,315831.69
1683,195227.95
1684,173906.95
1685,175463.97
1686,174640.35
1687,159801.21
1688,190579.5
1689,190955.0
1690,181437.1
1691,165706.81
1692,276477.83
1693,159814.4
1694,181915.65
1695,170779.3
1696,287809.23
1697,169056.43
1698,358085.5
1699,345711.93
1700,247246.35
1701,262518.95
1702,254308.27
1703,246203.88
1704,286829.33
